age,household_income,gender,store_location,typical_queue_wait_time,distance_to_store,percent_self_service_checkout_uses,children,fruit_and_veg_items,meat_items,cupboard_items,frozen_items,toiletries_items,other_items,has_loyalty_card,brand_loyalty,typical_visit_time,typical_shopping_mission,brings_own_bag,average_time_in_store,typical_payment_method,satisfaction,Customer_Comment
45,55342,Male,Wymondham,18.3,1.9,0.36,1,22,5,3,5,1,2,No,Medium,Morning,Weekly shop,Yes,66.5,Cash,Low,Not the best visit on my way home doing just a couple of items. seriouslyI had to wait for an approval at self-checkout and the security barriers were annoying. Could be improved.
52,65767,Female,Fakenham,9.5,1.1,0.16,0,4,0,1,2,1,5,No,High,Evening,Top-up,Yes,63.4,,Low,I wasn’t very impressed this time this morning doing a full weekly shop. quitethere were spillages that hadn’t been dealt with and parking was a hassle.
43,42301,Male,Dereham,18.8,2.5,0.3,1,11,1,1,1,2,6,No,High,Morning,Top-up,Yes,67.2,Google Pay,Low,
51,26608,Female,Dereham,8.6,0.8,0.35,0,9,5,7,4,3,1,Yes,Low,Afternoon,Weekly shop,Yes,98.5,Cash,High,
20,24059,Male,Dereham,15.6,1.3,0.67,1,7,2,11,8,11,8,Yes,Medium,Afternoon,Bulk shop,No,69.5,Google Pay,Very High,
37,21248,Male,Norwch,8.3,0.9,0.77,2,10,2,14,5,4,2,Yes,Low,Afternoon,Weekly shop,No,50.5,Cash,Very High,
75,47368,Female,Wymondham,12.9,2.1,0.03,0,3,7,3,7,1,5,No,Medium,Evening,Weekly shop,No,82.4,Card,Medium,
65,63689,Male,Norwich,10.5,1.3,0.03,2,13,10,8,9,8,2,Yes,Medium,Evening,Bulk shop,No,53.8,Cash,Medium,
20,36299,Non-binary,Norwich,10.9,,0.9,1,8,4,6,3,1,7,Yes,Medium,Afternoon,Weekly shop,Yes,43.9,Card,Very High,
32,94444,Non-binary,Dereham,12.5,3.3,0.55,1,7,5,6,3,4,1,No,Low,Afternoon,Weekly shop,Yes,69.3,Card,Medium,"A fairly standard shopping trip this afternoon doing just a couple of items. slightlyit was hard to find things, and checkout was quick. Fine for a quick shop."
47,66656,Female,Thetford,17.2,4.6,0.57,1,14,5,3,2,2,10,No,High,Evening,Weekly shop,No,73.9,Google Pay,Low,
50,29866,Female,Fakenham,12,3,0.48,2,7,2,10,9,3,5,Yes,Low,Morning,Weekly shop,No,71.6,Card,Medium,
51,77073,Other,Wymondham,10.4,1.2,0.2,0,4,1,2,1,1,5,No,High,Morning,Top-up,No,53.7,Card,Medium,A fairly standard shopping trip on my way home doing a bigger shop than usual. I had to wait for an approval at self-checkout. Pricing was competitive and everyone looked stretched.
36,11821,Female,Thetford,15.2,2.7,0.28,2,13,2,7,9,2,2,No,Medium,Morning,Weekly shop,Yes,92.3,Card,Medium,A fairly standard shopping trip today doing just a couple of items. at timesproduce looked fresh. The layout was easy to navigate and the fresh area looked untidy.
37,42317,Male,Wymondham,7.3,1.7,0.51,3,4,4,19,18,14,1,No,Medium,Afternoon,Bulk shop,No,55.5,Cash,Very High,Really great shop from start to finish this afternoon doing some bits for dinner. getting in and out was hassle-free. The entrance and exits felt well managed. Self-checkout was smooth and the loyalty discounts worked smoothly.
20,36552,Female,Fakenham,6.7,0.8,0.54,2,8,3,12,9,2,2,Yes,Low,Afternoon,Weekly shop,Yes,62.2,Google Pay,Medium,
34,34564,,Thetford,7.7,0.5,0.43,1,13,5,5,,3,0,Yes,Medium,Morning,Weekly shop,No,56.1,,Medium,
38,53316,Non-binary,Norwich,13.9,,0.58,2,4,5,11,5,8,3,No,Low,Evening,Weekly shop,No,52.4,Apple Pay,Very High,"Really great shop from start to finish at the weekend doing a full weekly shop. veryprices felt reasonable, and click & collect was efficient. I was in and out quickly, and the entrance and exits felt well managed."
20,39445,Female,Thetford,17.9,1.5,0.3,0,12,1,6,4,1,1,No,High,Morning,Weekly shop,No,64.9,Card,Low,"Not the best visit today doing some bits for dinner. especiallythe substitutions didn’t make sense, and offers were confusing. Hope it’s better next time."
20,20400,Female,Norwdich,6,1.1,0.78,0,3,2,3,3,0,2,Yes,Medium,Morning,Top-up,Yes,58.9,Unknown,High,"A good experience overall on my way home doing just a couple of items. collection was quick and well organised and aisles were tidy. But, i couldn’t tell what was actually on deal."
57,72057,Male,Wymondham,14.2,1.9,0.12,2,14,23,7,14,3,0,No,High,Afternoon,Bulk shop,No,87.5,Card,Very Low,
59,13654,Male,Norwich,6.5,1.8,0.17,0,3,2,2,0,1,3,Yes,Medium,Morning,Top-up,No,37.6,Card,High,"I was happy with my visit this morning doing a quick top-up shop. good availability across the aisles, and I found good deals without hunting. Would recommend based on today."
46,33182,Male,Dereham,19.5,2.2,0.07,1,7,1,3,2,1,3,Yes,Low,Morning,Top-up,Yes,78,Card,Very Low,"Really unhappy with this visit on my way home doing a bigger shop than usual. genuinelyaisles were awkward to navigate, and it didn’t feel very clean. Checkout took ages. Left feeling quite annoyed."
61,13280,Female,Norwich,9.4,,0.29,0,6,4,13,14,7,2,Yes,Medium,Afternoon,Bulk shop,No,46.5,Cash,Very High,
51,16168,Male,Fakenham,13.3,2.6,0.37,0,9,1,8,2,5,1,No,High,Afternoon,Weekly shop,Yes,67.5,Card,Medium,Neither great nor terrible at the weekend doing a few essentials. access was awkward today.
47,34495,Male,Dereham,10.8,1.7,0.4,3,6,9,20,10,3,12,Yes,Medium,Morning,Bulk shop,Yes,62.3,Card,Medium,
